Year,Month,Platform,Channel,KPI,Actual,Target
2025,Aug,Customer Portal,WHS,Digital Volume Share %,28.01,
2025,Jan,Chatbot,N/A,Registered Customers,1012,1067
2025,Jan,Chatbot,N/A,Active Customers,555,320
2025,Jan,Chatbot,N/A,Delivered Orders,947,320
2025,Jan,Chatbot,N/A,Order Frequency,1.7,
2025,Jan,Chatbot,N/A,Fulfillment Rate %,98,
2025,Jan,Chatbot,N/A,Digital Order Share %,10,
2025,Jan,Chatbot,N/A,Volume UC,57605,11751
2025,Jan,Chatbot,N/A,UC per Order,59,
2025,Jan,Chatbot,N/A,Digital Volume Share %,7,
2025,Feb,Chatbot,N/A,Registered Customers,1444,1342
2025,Feb,Chatbot,N/A,Active Customers,897,403
2025,Feb,Chatbot,N/A,Delivered Orders,1643,403
2025,Feb,Chatbot,N/A,Order Frequency,1.8,
2025,Feb,Chatbot,N/A,Fulfillment Rate %,94,
2025,Feb,Chatbot,N/A,Digital Order Share %,12,
2025,Feb,Chatbot,N/A,Volume UC,107562,21348
2025,Feb,Chatbot,N/A,UC per Order,61,
2025,Feb,Chatbot,N/A,Digital Volume Share %,9,
2025,Mar,Chatbot,N/A,Registered Customers,2117,1617
2025,Mar,Chatbot,N/A,Active Customers,1159,485
2025,Mar,Chatbot,N/A,Delivered Orders,2753,485
2025,Mar,Chatbot,N/A,Order Frequency,2.4,
2025,Mar,Chatbot,N/A,Fulfillment Rate %,93,
2025,Mar,Chatbot,N/A,Digital Order Share %,12,
2025,Mar,Chatbot,N/A,Volume UC,164727,33242
2025,Mar,Chatbot,N/A,UC per Order,56,
2025,Mar,Chatbot,N/A,Digital Volume Share %,6,
2025,Apr,Chatbot,N/A,Registered Customers,2387,2214
2025,Apr,Chatbot,N/A,Active Customers,1192,1218
2025,Apr,Chatbot,N/A,Delivered Orders,2499,2436
2025,Apr,Chatbot,N/A,Order Frequency,2.1,
2025,Apr,Chatbot,N/A,Fulfillment Rate %,88,
2025,Apr,Chatbot,N/A,Digital Order Share %,14,
2025,Apr,Chatbot,N/A,Volume UC,132627,100037
2025,Apr,Chatbot,N/A,UC per Order,47,
2025,Apr,Chatbot,N/A,Digital Volume Share %,5,
2025,May,Chatbot,N/A,Registered Customers,2213,2214
2025,May,Chatbot,N/A,Active Customers,1376,1218
2025,May,Chatbot,N/A,Delivered Orders,3236,2436
2025,May,Chatbot,N/A,Order Frequency,2.4,
2025,May,Chatbot,N/A,Fulfillment Rate %,88,
2025,May,Chatbot,N/A,Digital Order Share %,16,
2025,May,Chatbot,N/A,Volume UC,282317,182465
2025,May,Chatbot,N/A,UC per Order,77,
2025,May,Chatbot,N/A,Digital Volume Share %,7,
2025,Jun,Chatbot,N/A,Registered Customers,2506,2214
2025,Jun,Chatbot,N/A,Active Customers,1671,1218
2025,Jun,Chatbot,N/A,Delivered Orders,4868,2436
2025,Jun,Chatbot,N/A,Order Frequency,2.9,
2025,Jun,Chatbot,N/A,Fulfillment Rate %,89,
2025,Jun,Chatbot,N/A,Digital Order Share %,20,
2025,Jun,Chatbot,N/A,Volume UC,464845,246422
2025,Jun,Chatbot,N/A,UC per Order,85,
2025,Jun,Chatbot,N/A,Digital Volume Share %,8,
2025,Jul,Chatbot,N/A,Registered Customers,2859,2981
2025,Jul,Chatbot,N/A,Active Customers,1742,1788
2025,Jul,Chatbot,N/A,Delivered Orders,5258,3577
2025,Jul,Chatbot,N/A,Order Frequency,3,
2025,Jul,Chatbot,N/A,Fulfillment Rate %,86,
2025,Jul,Chatbot,N/A,Digital Order Share %,23,
2025,Jul,Chatbot,N/A,Volume UC,570795,271820
2025,Jul,Chatbot,N/A,UC per Order,93,
2025,Jul,Chatbot,N/A,Digital Volume Share %,12,
2025,Aug,Chatbot,N/A,Registered Customers,3052,3568
2025,Aug,Chatbot,N/A,Active Customers,1612,2141
2025,Aug,Chatbot,N/A,Delivered Orders,4603,4281
2025,Aug,Chatbot,N/A,Order Frequency,2.9,
2025,Aug,Chatbot,N/A,Fulfillment Rate %,71,
2025,Aug,Chatbot,N/A,Digital Order Share %,22,
2025,Aug,Chatbot,N/A,Volume UC,566327,254805
2025,Aug,Chatbot,N/A,UC per Order,88,
2025,Aug,Chatbot,N/A,Digital Volume Share %,12,
